Company,Risk (Std Dev),Expected Return
MSFT,4.3596318385592365,-0.6639622641509434
NKE,5.301617410735267,-0.4090566037735847
PG,3.3319735954293823,-0.05981132075471694
CRM,6.542114682103036,-0.9032075471698114
TRV,3.1351695717826233,0.4533962264150943
UNH,3.3955117220916966,0.01037735849056595
VZ,3.6303387791870176,-0.32566037735849057
DIS,4.333166995616637,0.09943396226415102
MMM,4.001235658200206,-0.5554716981132076
AMZN,6.402805206609686,-1.0367924528301886
AXP,5.008246465183521,-0.03981132075471714
AMGN,3.2257956905925664,0.43132075471698117
AAPL,4.443754313052763,-0.4949056603773585
BA,6.628041372707053,0.32584905660377367
CAT,5.301585914379505,0.4858490566037736
CVX,5.325743411791807,0.9126415094339622
CSCO,3.8447129078744973,-0.4356603773584907
KO,3.0581408521678846,0.17509433962264154
DOW,4.409108027642263,0.03830188679245266
GS,4.452681112052754,-0.08037735849056603
HD,4.323956781656953,-0.41301886792452835
HON,3.5265473088596933,0.07603773584905661
INTC,4.848126065040533,-0.9792452830188679
IBM,3.6589393484037878,0.20113207547169815
JNJ,2.3036672347785307,0.12433962264150947
JPM,4.488182232626657,-0.16169811320754732
MCD,2.988786590410708,0.05320754716981131
MRK,3.000605708083722,0.8099999999999999
